doc_id,extractive_rouge1_precision,extractive_rouge1_recall,extractive_rouge1_fmeasure,extractive_rouge2_precision,extractive_rouge2_recall,extractive_rouge2_fmeasure,extractive_rougeL_precision,extractive_rougeL_recall,extractive_rougeL_fmeasure,abstractive_rouge1_precision,abstractive_rouge1_recall,abstractive_rouge1_fmeasure,abstractive_rouge2_precision,abstractive_rouge2_recall,abstractive_rouge2_fmeasure,abstractive_rougeL_precision,abstractive_rougeL_recall,abstractive_rougeL_fmeasure
0,0.3904109589041096,0.4253731343283582,0.40714285714285714,0.14482758620689656,0.15789473684210525,0.1510791366906475,0.2465753424657534,0.26865671641791045,0.2571428571428571,0.9923076923076923,0.9626865671641791,0.9772727272727273,0.9767441860465116,0.9473684210526315,0.9618320610687022,0.9923076923076923,0.9626865671641791,0.9772727272727273
1,0.4117647058823529,0.2648648648648649,0.3223684210526316,0.059322033898305086,0.03804347826086957,0.04635761589403973,0.2184873949579832,0.14054054054054055,0.17105263157894737,0.5892857142857143,0.1783783783783784,0.27385892116182575,0.21818181818181817,0.06521739130434782,0.100418410041841,0.375,0.11351351351351352,0.17427385892116184
2,0.48677248677248675,0.5317919075144508,0.5082872928176795,0.22872340425531915,0.25,0.2388888888888889,0.30158730158730157,0.32947976878612717,0.31491712707182323,0.9591836734693877,0.5433526011560693,0.6937269372693725,0.8865979381443299,0.5,0.6394052044609665,0.9285714285714286,0.5260115606936416,0.6715867158671587
3,0.3081967213114754,0.5595238095238095,0.3974630021141649,0.125,0.2275449101796407,0.1613588110403397,0.17049180327868851,0.30952380952380953,0.21987315010570826,0.5272727272727272,0.17261904761904762,0.26008968609865474,0.16666666666666666,0.05389221556886228,0.08144796380090498,0.34545454545454546,0.1130952380952381,0.1704035874439462
4,0.44166666666666665,0.44166666666666665,0.44166666666666665,0.18487394957983194,0.18487394957983194,0.18487394957983194,0.225,0.225,0.225,0.5897435897435898,0.19166666666666668,0.289308176100629,0.2631578947368421,0.08403361344537816,0.12738853503184713,0.48717948717948717,0.15833333333333333,0.2389937106918239
5,0.8129496402877698,0.4109090909090909,0.5458937198067633,0.6739130434782609,0.33941605839416056,0.45145631067961167,0.6258992805755396,0.31636363636363635,0.4202898550724638,0.9162011173184358,0.5963636363636363,0.7224669603524229,0.8314606741573034,0.5401459854014599,0.6548672566371682,0.9050279329608939,0.5890909090909091,0.7136563876651983
6,0.5857988165680473,0.49748743718592964,0.5380434782608695,0.25595238095238093,0.21717171717171718,0.23497267759562843,0.28994082840236685,0.24623115577889448,0.266304347826087,0.9509803921568627,0.48743718592964824,0.6445182724252492,0.8316831683168316,0.42424242424242425,0.5618729096989966,0.8627450980392157,0.44221105527638194,0.584717607973422
7,0.10526315789473684,0.6,0.17910447761194026,0.02654867256637168,0.15789473684210525,0.045454545454545456,0.07017543859649122,0.4,0.11940298507462686,0.36363636363636365,0.6,0.4528301886792453,0.1875,0.3157894736842105,0.23529411764705882,0.30303030303030304,0.5,0.37735849056603776
8,0.5893719806763285,0.5422222222222223,0.5648148148148149,0.23786407766990292,0.21875,0.22790697674418603,0.2898550724637681,0.26666666666666666,0.27777777777777773,0.9415584415584416,0.6444444444444445,0.7651715039577837,0.8758169934640523,0.5982142857142857,0.7108753315649868,0.935064935064935,0.64,0.7598944591029024
9,0.6690140845070423,0.5191256830601093,0.5846153846153846,0.5602836879432624,0.4340659340659341,0.48916408668730654,0.5070422535211268,0.39344262295081966,0.4430769230769231,0.963855421686747,0.4371584699453552,0.6015037593984962,0.926829268292683,0.4175824175824176,0.5757575757575758,0.963855421686747,0.4371584699453552,0.6015037593984962
